year;max_temp
1993;231
1994;187
1995;228
1996;221
1997;216
1998;230
1999;206
2000;250
2001;274
2002;258
2003;214
2004;234
2005;190
2006;216
2007;240
2008;204
2009;222
2010;233
2011;213
2012;256
2013;216
2014;201
2015;253
2016;213
2017;244
2018;228
